request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,not_affordable,not_recommended,none,2025-08-03,none,Request cannot be safely completed by desired date while maintaining minimum balance.
request_27,6670.0,not_affordable,not_recommended,none,2026-07-05,none,Request cannot be safely completed by desired date while maintaining minimum balance.
request_28,689.4,not_affordable,not_recommended,none,,none,Request cannot be safely completed by desired date while maintaining minimum balance.
request_29,51524.0,not_affordable,not_recommended,none,2025-11-04,none,Request cannot be safely completed by desired date while maintaining minimum balance.
request_30,775.2,not_affordable,not_recommended,none,2026-04-06,none,Request cannot be safely completed by desired date while maintaining minimum balance.
request_31,13840360.0,not_affordable,not_recommended,none,2024-09-15,none,Request cannot be safely completed by desired date while maintaining minimum balance.
request_32,33305.8,not_affordable,not_recommended,none,,none,Request cannot be safely completed by desired date while maintaining minimum balance.
request_33,65180.0,not_affordable,not_recommended,none,,none,Request cannot be safely completed by desired date while maintaining minimum balance.
request_34,129400.0,not_affordable,not_recommended,none,2024-12-04,none,Request cannot be safely completed by desired date while maintaining minimum balance.
request_35,125130.0,not_affordable,not_recommended,none,,none,Request cannot be safely completed by desired date while maintaining minimum balance.
request_36,1446.6,not_affordable,not_recommended,none,,none,Request cannot be safely completed by desired date while maintaining minimum balance.
request_37,12068800.0,not_affordable,not_recommended,none,,none,Request cannot be safely completed by desired date while maintaining minimum balance.
request_38,379.4,not_affordable,not_recommended,none,,none,Request cannot be safely completed by desired date while maintaining minimum balance.
request_39,203105.0,not_affordable,not_recommended,none,2026-04-15,none,Request cannot be safely completed by desired date while maintaining minimum balance.
request_40,894.0,not_affordable,not_recommended,none,,none,Request cannot be safely completed by desired date while maintaining minimum balance.
request_41,24809250.0,not_affordable,not_recommended,none,2025-11-15,none,Request cannot be safely completed by desired date while maintaining minimum balance.
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100.00,2026-01-05,none,Full payment of 52100.00 is safe on request date while maintaining minimum balance.
request_43,15242750.0,not_affordable,not_recommended,none,,none,Request cannot be safely completed by desired date while maintaining minimum balance.
request_44,79390.0,not_affordable,not_recommended,none,,none,Request cannot be safely completed by desired date while maintaining minimum balance.
request_45,8833100.0,not_affordable,not_recommended,none,,none,Request cannot be safely completed by desired date while maintaining minimum balance.
request_46,49450.0,not_affordable,not_recommended,none,2024-12-03,none,Request cannot be safely completed by desired date while maintaining minimum balance.
request_47,38114000.0,not_affordable,not_recommended,none,2025-05-05,none,Request cannot be safely completed by desired date while maintaining minimum balance.
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700.00,2026-07-25,none,Full payment of 45700.00 is safe on request date while maintaining minimum balance.
request_49,20228793.34,not_affordable,not_recommended,none,,none,Request cannot be safely completed by desired date while maintaining minimum balance.
request_50,43900.0,not_affordable,not_recommended,none,2025-08-06,none,Request cannot be safely completed by desired date while maintaining minimum balance.
request_51,2191000.0,not_affordable,not_recommended,none,2026-01-03,none,Request cannot be safely completed by desired date while maintaining minimum balance.
request_52,28870.0,not_affordable,not_recommended,none,2024-06-05,none,Request cannot be safely completed by desired date while maintaining minimum balance.
